GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMML class model evaluator code coverage,org.jpmml.evaluator,ProbabilityDistribution,0,16,0,0,0,6,0,4,0,4
PMML class model evaluator code coverage,org.jpmml.evaluator,VoteAggregator,0,59,0,4,0,15,0,5,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator,InvalidFeatureException,12,21,0,0,4,8,2,4,2,4
PMML class model evaluator code coverage,org.jpmml.evaluator,ValueAggregator.Entry,0,18,0,0,0,5,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,RegExUtil,3,26,0,2,2,6,1,3,1,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ValueMap.new Function() {...},0,10,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,NormalizationUtil.new Object() {...},3,23,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,CategoricalValue.new Object() {...},2,17,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,SimpleDoubleVector,22,54,2,0,6,14,5,7,4,7
PMML class model evaluator code coverage,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,8,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ModelEvaluator.new Object() {...},6,49,0,0,0,3,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,6,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportFactory,3,0,0,0,1,0,1,0,1,0
PMML class model evaluator code coverage,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,CsvUtil.Table,3,11,0,0,1,5,1,2,1,2
PMML class model evaluator code coverage,org.jpmml.evaluator,Functions.new AbstractFunction() {...},28,4,0,0,5,1,1,1,1,1
PMML class model evaluator code coverage,org.jpmml.evaluator,Functions.new AbstractFunction() {...},0,42,0,0,0,6,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,Functions.new AbstractFunction() {...},0,34,0,0,0,6,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ValueFactoryFactory.new Object() {...},2,17,0,0,0,1,0,1,0,1
